,Date,Link,Newspaper Name,Corrected_Date,Headline_Keywords,Body_Keywords
15,14-Feb-20,https://www.washingtonpost.com/business/softbanks-biggest-name-is-one-son-dare-not-mention/2020/02/12/e5543dba-4df3-11ea-967b-e074d302c7d4_story.html,The Washington Post,2/14/2020,"['SoftBank', 'Son']","['SoftBank', 'Son', 'Elliott', 'share', 'governance', 'company', 'Corp.', 'investors', 'statement', 'Group', 'merger', 'companies', 'U.S.', 'room']"
16,14-Feb-20,https://www.washingtonpost.com/business/airbus-and-boeing-have-both-forgotten-how-to-make-money/2020/02/13/ff0b1dd2-4e4d-11ea-967b-e074d302c7d4_story.html,The Washington Post,2/14/2020,"['Airbus', 'Boeing', 'Money']","['Airbus', 'Bombardier', 'Boeing', 'program', 'euros', 'cash', 'costs', 'aircraft', 'defense', 'money', 'business', 'cost', 'shareholders', 'success']"
17,14-Feb-20,https://www.washingtonpost.com/business/energy/renault-cant-expect-a-tesla-style-helping-hand/2020/02/14/6a9ee0b4-4f2b-11ea-967b-e074d302c7d4_story.html,The Washington Post,2/14/2020,"['Giant', 'Tesla', 'Envy']","['Renault', 'Nissan', 'company', 'euros', 'alliance', 'stake', 'costs', 'Daimler', 'Tesla', 'cash', 'vehicles', '%', 'stock', 'car']"
18,14-Feb-20,https://www.washingtonpost.com/business/the-system-for-diagnosing-epidemics-is-failing/2020/02/13/e9806ea8-4ea3-11ea-967b-e074d302c7d4_story.html,The Washington Post,2/14/2020,"['System', 'Epidemics']","['disease', 'China', 'cases', 'tests', 'virus', 'samples', 'lab', 'blood', 'tools', 'labs', 'infections', 'outbreak', 'health', 'Control']"
19,15-Feb-20,https://www.washingtonpost.com/business/stocks-gain-for-week-as-growth-outlook-offsets-virus-angst/2020/02/14/56a3b0c0-4e82-11ea-bf44-f5043eb3918a_story.html,The Washington Post,2/15/2020,"['growth', 'outlook', 'virus', 'week', 'Stocks', 'angst']","['U.S.', 'week', 'percent', 'spread', 'earnings', 'Treasury', 'investors', 'bills', 'companies', 'S&P', 'consumer', 'Cash', 'chipmaker', 'Nvidia']"
20,15-Feb-20,https://www.washingtonpost.com/opinions/2020/02/14/mike-bloomberg-isnt-anti-trump-juggernaut-he-seems-be/,The Washington Post,2/15/2020,"['Mike', 'Bloomberg', 'juggernaut']","['Bloomberg', 'Trump', 'New', 'Democrats', 'York', 'money', 'people', 'issue', 'power', 'millions', 'bargain', 'Medicare', 'politics', 'mayor']"
21,16-Feb-20,https://www.washingtonpost.com/lifestyle/kidspost/vaccines-are-like-a-giving-your-bodys-defenses-a-cheat-sheet/2020/02/14/df89dce6-4ce5-11ea-9b5c-eac5b16dafaa_story.html,The Washington Post,2/16/2020,"['Vaccines', 'body', 'cheat', 'sheet']","['people', 'Nasif', 'system', 'vaccines', 'virus', 'viruses', 'thing', 'vaccine', 'disease', 'body', 'cheat', 'diseases', 'bacteria', 'polio']"
22,17-Feb-20,https://www.washingtonpost.com/world/asia_pacific/in-china-200-million-kids-have-gone-back-to-school-online/2020/02/17/e5cc6f10-5131-11ea-80ce-37a8d4266c09_story.html,The Washington Post,2/17/2020,"['China', 'kids', 'school']","['classes', 'school', 'kids', 'parents', 'China', 'learning', 'teachers', 'students', 'Internet', 'Beijing', 'life', 'day', 'time', 'coronavirus']"
23,18-Feb-20,https://www.washingtonpost.com/national-security/bolton-says-his-account-of-trump-foreign-policy-risks-being-suppressed-by-the-white-house/2020/02/17/d0feb8a4-51d6-11ea-9e47-59804be1dcfb_story.html,The Washington Post,2/18/2020,"['policy', 'risks', 'White', 'account', 'Bolton', 'House']","['Bolton', 'Trump', 'book', 'administration', 'security', 'House', 'President', 'White', 'government', 'president', 'Ukraine', 'Class', 'adviser', 'Senate']"
24,18-Feb-20,https://www.washingtonpost.com/business/alibabas-china-disconnect-cuts-hong-kong-dead/2020/02/11/ad0cadec-4cb4-11ea-967b-e074d302c7d4_story.html,The Washington Post,2/18/2020,"['Disconnect', 'Hong', 'Kong', 'China', 'Alibaba', 'Dead']","['Hong', 'Kong', 'Alibaba', 'companies', 'shares', 'connect', 'Shanghai', 'stock', 'China', 'Inc.', 'Shenzhen', 'mainland', 'exchange', 'U.S.']"
25,19-Feb-20,https://www.washingtonpost.com/opinions/2020/02/18/voters-who-choose-their-wallets-over-their-values-2020-are-taking-big-risk/,The Washington Post,2/19/2020,"['Voters', 'wallets', 'values', 'risk']","['Trump', 'values', 'voters', 'society', 'reelection', 'economy', 'point', 'way', 'bigot', 'Obama', 'office', 'prospects', 'years', 'presidency']"
26,19-Feb-20,https://www.washingtonpost.com/business/apples-virus-cut-puts-all-eyes-on-tech-bellwether/2020/02/18/d010cf20-520f-11ea-80ce-37a8d4266c09_story.html,The Washington Post,2/19/2020,"['Cut', 'Eyes', 'Tech', 'Virus', 'Apple', 'Bellwether']","['TSMC', '%', 'profit', '-', 'quarter', 'production', 'chips', 'revenue', 'China', 'guidance', 'outbreak', 'demand', 'company', 'impact']"
27,19-Feb-20,https://www.washingtonpost.com/business/hsbc-is-no-mans-land-for-quinn-or-anyone-else/2020/02/18/db8c3cea-522d-11ea-80ce-37a8d4266c09_story.html,The Washington Post,2/19/2020,"['HSBC', 'Man', 'Land', 'Quinn']","['HSBC', 'bank', 'Quinn', '%', 'executive', 'cuts', 'Kong', 'U.S.', 'Hong', 'investor', 'earnings', 'China', 'lender', 'year']"
28,19-Feb-20,https://www.washingtonpost.com/business/apple-is-handcuffed-to-the-iphone-just-like-its-customers/2020/02/18/66060f12-5248-11ea-80ce-37a8d4266c09_story.html,The Washington Post,2/19/2020,"['Apple', 'iPhone', 'Customers']","['Apple', 'company', 'iPhone', 'revenue', 'earnings', 'Facebook', 'demand', 'years', 'Google', 'ads', 'smartphone', 'Music', 'advertising', 'Arcade']"
29,19-Feb-20,https://www.washingtonpost.com/business/whats-the-big-attraction-with-british-airways/2020/02/19/3b405a98-5320-11ea-80ce-37a8d4266c09_story.html,The Washington Post,2/19/2020,"['Big', 'Attraction', 'British', 'Airways']","['Qatar', 'Airways', 'airline', '%', 'stake', 'IAG', 'Gulf', 'company', 'stock', 'Airlines', 'influence', 'carriers', 'stakes', 'Air']"
30,20-Feb-20,https://www.washingtonpost.com/business/whats-the-big-attraction-in-british-airways/2020/02/19/3b405a98-5320-11ea-80ce-37a8d4266c09_story.html,The Washington Post,2/20/2020,"['Big', 'Attraction', 'British', 'Airways']","['Qatar', 'Airways', 'airline', '%', 'stake', 'IAG', 'Gulf', 'company', 'stock', 'Airlines', 'influence', 'carriers', 'stakes', 'Air']"
31,20-Feb-20,https://www.washingtonpost.com/business/selling-cars-in-china-is-worse-than-making-them/2020/02/19/de3c2a70-536f-11ea-80ce-37a8d4266c09_story.html,The Washington Post,2/20/2020,"['Cars', 'China']","['sales', 'car', '%', 'auto', 'dealers', 'dealerships', 'fees', 'cars', 'consumers', 'buyers', 'showrooms', 'Inc.', 'Group', 'margins']"
